  Generating ../edge.epk
  Adding colormaps/automaps.lmp                   19.1% [   414/   512] Deflate
  Adding colormaps/fnwhtmap.lmp                   39.1% [   156/   256] Deflate
  Adding colormaps/lavamap.lmp                    77.0% [  1999/  8704] Deflate
  Adding colormaps/nitevmap.lmp                   57.0% [   110/   256] Deflate
  Adding colormaps/plyrmaps.lmp                   88.6% [   437/  3840] Deflate
  Adding colormaps/sargmaps.lmp                   57.0% [   661/  1536] Deflate
  Adding colormaps/shademap.lmp                   97.7% [     6/   256] Deflate
  Adding colormaps/skinmaps.lmp                   71.6% [   364/  1280] Deflate
  Adding colormaps/slimemap.lmp                   82.8% [  1498/  8704] Deflate
  Adding colormaps/textmaps.lmp                   80.9% [   343/  1792] Deflate
  Adding colormaps/txtblues.lmp                   70.9% [   372/  1280] Deflate
  Adding colormaps/txtbrns1.lmp                   57.6% [   543/  1280] Deflate
  Adding colormaps/txtbrns2.lmp                   59.8% [   515/  1280] Deflate
  Adding colormaps/txtgreys.lmp                   54.6% [   581/  1280] Deflate
  Adding colormaps/txtgrns.lmp                    74.9% [   321/  1280] Deflate
  Adding colormaps/txtorans.lmp                   69.5% [   391/  1280] Deflate
  Adding colormaps/txtpnks1.lmp                   62.3% [   482/  1280] Deflate
  Adding colormaps/txtpnks2.lmp                   61.6% [   491/  1280] Deflate
  Adding colormaps/txtpurps.lmp                   76.1% [   306/  1280] Deflate
  Adding colormaps/txtreds.lmp                    66.3% [   431/  1280] Deflate
  Adding colormaps/txtylws1.lmp                   68.0% [   409/  1280] Deflate
  Adding colormaps/txtylws2.lmp                   71.9% [   360/  1280] Deflate
  Adding colormaps/watermap.lmp                   80.9% [  1659/  8704] Deflate
  Adding graphics/HUD/airbar01.gfx                60.4% [  1081/  2728] Deflate
  Adding graphics/HUD/airbar02.gfx                59.9% [  1093/  2728] Deflate
  Adding graphics/HUD/airbar03.gfx                59.7% [  1099/  2728] Deflate
  Adding graphics/HUD/airbar04.gfx                59.2% [  1113/  2728] Deflate
  Adding graphics/HUD/airbar05.gfx                58.8% [  1125/  2728] Deflate
  Adding graphics/HUD/airbar06.gfx                58.4% [  1135/  2728] Deflate
  Adding graphics/HUD/airbar07.gfx                58.0% [  1147/  2728] Deflate
  Adding graphics/HUD/airbar08.gfx                57.5% [  1160/  2728] Deflate
  Adding graphics/HUD/airbar09.gfx                57.0% [  1173/  2728] Deflate
  Adding graphics/HUD/airbar10.gfx                56.6% [  1184/  2728] Deflate
  Adding graphics/HUD/airbar11.gfx                56.1% [  1198/  2728] Deflate
  Adding graphics/HUD/airbar12.gfx                55.6% [  1211/  2728] Deflate
  Adding graphics/HUD/airbar13.gfx                55.2% [  1223/  2728] Deflate
  Adding graphics/HUD/airbar14.gfx                54.8% [  1232/  2728] Deflate
  Adding graphics/HUD/airbar15.gfx                54.5% [  1242/  2728] Deflate
  Adding graphics/HUD/airbar16.gfx                54.1% [  1251/  2728] Deflate
  Adding graphics/HUD/airbar17.gfx                53.9% [  1258/  2728] Deflate
  Adding graphics/HUD/airbar18.gfx                53.5% [  1269/  2728] Deflate
  Adding graphics/HUD/airbar19.gfx                53.2% [  1278/  2728] Deflate
  Adding graphics/HUD/airbar20.gfx                52.7% [  1290/  2728] Deflate
  Adding graphics/HUD/airbar21.gfx                52.4% [  1299/  2728] Deflate
  Adding graphics/HUD/ceejay/powbar01.gfx         80.6% [   209/  1079] Deflate
  Adding graphics/HUD/ceejay/powbar02.gfx         80.2% [   207/  1046] Deflate
  Adding graphics/HUD/ceejay/powbar03.gfx         79.9% [   204/  1013] Deflate
  Adding graphics/HUD/ceejay/powbar04.gfx         79.6% [   200/   980] Deflate
  Adding graphics/HUD/ceejay/powbar05.gfx         78.9% [   200/   947] Deflate
  Adding graphics/HUD/ceejay/powbar06.gfx         78.6% [   196/   914] Deflate
  Adding graphics/HUD/ceejay/powbar07.gfx         78.1% [   193/   881] Deflate
  Adding graphics/HUD/ceejay/powbar08.gfx         77.4% [   192/   848] Deflate
  Adding graphics/HUD/ceejay/powbar09.gfx         76.3% [   193/   815] Deflate
